2010 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-01T15:09:28 Cycle:b0e25e98-6d0c-4b79-9c3c-e799314ece6b Created:2010-09-01T14:50:03 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,20863,JONES,Giulia,1,N,N,LP,Liberal,37206,0,0,1416,449,39071,2.1
ACT,101,Canberra,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,18127,0,0,933,134,19194,5.34
ACT,101,Canberra,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,44722,0,0,1568,383,46673,-6.62
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,5174,0,0,168,34,5376,2.61
ACT,102,Fraser,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,31967,480,0,1932,0,34379,1.24
ACT,102,Fraser,21307,HEDGES-PHILLIPS,Quintin,2,N,N,SPA,Secular Party of Australia,1891,38,0,104,0,2033,1.92
ACT,102,Fraser,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,45686,634,0,2204,0,48524,-5.27
ACT,102,Fraser,20860,ESGUERRA,Indra,4,N,N,GRN,The Greens,19358,391,0,1202,0,20951,6.41
ACT,102,Fraser,999,Informal,Informal,999,N,N,,Informal,4701,100,0,172,0,4973,2.13
NSW,103,Banks,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,6612,548,35,194,236,7625,3.05
NSW,103,Banks,20888,PARSONS,Michael,2,N,N,ON,One Nation,1246,131,3,48,78,1506,1.87
NSW,103,Banks,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,30812,1464,123,616,1704,34719,-10.68
NSW,103,Banks,21561,DELEZIO,Ron,4,N,N,LP,Liberal,32660,1493,118,570,1983,36824,10.61
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,6828,375,37,69,153,7462,2.71
NSW,104,Barton,21158,McCLELLAND,Robert,1,N,Y,ALP,Labor,32536,0,0,978,1849,35363,-8.48
NSW,104,Barton,21619,FRANCIS,Simone,2,N,N,GRN,The Greens,6914,0,0,267,274,7455,2.05
NSW,104,Barton,21616,La MELA,John,3,N,N,LP,Liberal,27080,0,0,728,1846,29654,10.01
NSW,104,Barton,999,Informal,Informal,999,N,N,,Informal,7705,0,0,138,171,8014,3.39
NSW,105,Bennelong,20839,WATERSON,Victor,1,N,N,ON,One Nation,591,55,0,37,14,697,0.56
NSW,105,Bennelong,21113,WORSLEY,Julie,2,N,N,CDP,Christian Democratic Party (Fred Nile Group),1554,69,0,64,40,1727,0.83
NSW,105,Bennelong,20879,RAYE,Sue,3,N,N,ASXP,Australian Sex Party,892,73,0,47,19,1031,1.27
NSW,105,Bennelong,21939,MOCKLER,Mary Louise,4,N,N,CA,Carers Alliance,389,19,0,16,12,436,0.54
NSW,105,Bennelong,21685,CHAVURA,Stephen,5,N,N,FFP,Family First,434,25,0,22,19,500,0.29
